abbreviation,full_length,count_abbr,count_fl,abbr_first_token_surprisal_mean,abbr_first_token_surprisal_median,abbr_mask_all_surprisal_mean,abbr_mask_all_surprisal_median,abbr_sequential_surprisal_mean,abbr_sequential_surprisal_median,fl_first_token_surprisal_mean,fl_first_token_surprisal_median,fl_mask_all_surprisal_mean,fl_mask_all_surprisal_median,fl_sequential_surprisal_mean,fl_sequential_surprisal_median
idk,i don't know,36,64,37.46131896972656,38.873390197753906,37.46131896972656,38.873390197753906,37.46131896972656,38.873390197753906,34.278961181640625,34.160316467285156,109.70665740966797,115.75191497802734,225.1919708251953,239.53851318359375
rn,right now,29,204,30.756410598754883,35.00138473510742,30.756410598754883,35.00138473510742,30.756410598754883,35.00138473510742,32.88145065307617,32.50768280029297,56.641334533691406,61.14756774902344,115.42222595214844,125.04261779785156
omg,oh my god,167,14,39.768924713134766,41.484230041503906,39.768924713134766,41.484230041503906,39.768924713134766,41.484230041503906,39.79578399658203,42.59928894042969,99.68619537353516,100.89047241210938,195.17567443847656,195.72067260742188
idc,i don't care,9,9,33.4622688293457,36.23636245727539,33.4622688293457,36.23636245727539,33.4622688293457,36.23636245727539,30.850202560424805,31.373247146606445,108.89189147949219,119.6099853515625,217.62139892578125,244.1252899169922
lol,laugh out loud,826,1,28.466779708862305,27.838916778564453,28.466779708862305,27.838916778564453,28.466779708862305,27.838916778564453,34.29060363769531,34.29060363769531,99.93315124511719,99.93315124511719,204.37725830078125,204.37725830078125
bro,brother,242,278,28.66423988342285,28.64861297607422,28.66423988342285,28.64861297607422,28.66423988342285,28.64861297607422,27.83745765686035,27.722381591796875,27.83745765686035,27.722381591796875,27.83745765686035,27.722381591796875
dm,direct message,100,0,36.00697326660156,36.14575958251953,36.00697326660156,36.14575958251953,36.00697326660156,36.14575958251953,,,,,,
sry,sorry,1,152,47.63987350463867,47.63987350463867,47.63987350463867,47.63987350463867,47.63987350463867,47.63987350463867,32.26164627075195,32.9832763671875,32.26164627075195,32.9832763671875,32.26164627075195,32.9832763671875
v,very,584,538,29.89702033996582,29.72060203552246,29.89702033996582,29.72060203552246,29.89702033996582,29.72060203552246,35.108436584472656,35.01877212524414,35.108436584472656,35.01877212524414,35.108436584472656,35.01877212524414
w,with,1181,11063,32.453712463378906,32.15800094604492,32.453712463378906,32.15800094604492,32.453712463378906,32.15800094604492,29.541963577270508,30.005329132080078,29.541963577270508,30.005329132080078,29.541963577270508,30.005329132080078
nvm,nevermind,1,1,45.84886932373047,45.84886932373047,45.84886932373047,45.84886932373047,45.84886932373047,45.84886932373047,37.386451721191406,37.386451721191406,37.386451721191406,37.386451721191406,37.386451721191406,37.386451721191406
rofl,rolling on the floor laughing,3,0,33.28179931640625,34.56381607055664,33.28179931640625,34.56381607055664,33.28179931640625,34.56381607055664,,,,,,
lmk,let me know,3,16,41.149559020996094,39.338783264160156,41.149559020996094,39.338783264160156,41.149559020996094,39.338783264160156,30.713172912597656,32.14619445800781,77.45596313476562,85.00132751464844,156.89291381835938,171.16067504882812
ily,i love you,118,492,36.819644927978516,36.97587203979492,36.819644927978516,36.97587203979492,36.819644927978516,36.97587203979492,31.857206344604492,31.324970245361328,80.62560272216797,88.87306213378906,163.9457244873047,180.480712890625
yolo,you only live once,0,3,,,,,,,37.67731475830078,35.955848693847656,134.95558166503906,128.78269958496094,261.3346252441406,249.39881896972656
lmfao,laughing my fucking ass off,50,0,31.806013107299805,32.806907653808594,31.806013107299805,32.806907653808594,31.806013107299805,32.806907653808594,,,,,,
ikr,i know right,0,1,,,,,,,46.072059631347656,46.072059631347656,70.90853118896484,70.90853118896484,141.54754638671875,141.54754638671875
ofc,of course,4,101,34.395912170410156,35.432498931884766,34.395912170410156,35.432498931884766,34.395912170410156,35.432498931884766,29.839805603027344,28.003602981567383,64.65434265136719,65.78658294677734,121.27546691894531,122.56581115722656
u,you,984,13147,32.89100646972656,34.01123809814453,32.89100646972656,34.01123809814453,32.89100646972656,34.01123809814453,29.25362777709961,29.155426025390625,29.25362777709961,29.155426025390625,29.25362777709961,29.155426025390625
2,too,1078,990,30.315847396850586,29.839210510253906,30.315847396850586,29.839210510253906,30.315847396850586,29.839210510253906,31.215171813964844,31.566444396972656,31.215171813964844,31.566444396972656,31.215171813964844,31.566444396972656
2,to,1078,17872,30.315847396850586,29.839210510253906,30.315847396850586,29.839210510253906,30.315847396850586,29.839210510253906,27.9248046875,28.42106056213379,27.9248046875,28.42106056213379,27.9248046875,28.42106056213379
r,are,496,3101,35.34187698364258,37.11976623535156,35.34187698364258,37.11976623535156,35.34187698364258,37.11976623535156,35.19321823120117,36.97233963012695,35.19321823120117,36.97233963012695,35.19321823120117,36.97233963012695
abt,about,3,1224,36.99162673950195,36.075538635253906,36.99162673950195,36.075538635253906,36.99162673950195,36.075538635253906,35.65675354003906,35.186256408691406,35.65675354003906,35.186256408691406,35.65675354003906,35.186256408691406
tbh,to be honest,19,4,32.394168853759766,32.19565200805664,32.394168853759766,32.19565200805664,32.394168853759766,32.19565200805664,20.344253540039062,19.73897933959961,61.630767822265625,56.75497817993164,110.37442016601562,101.78627014160156
tbt,throwback thursday,56,13,45.41931915283203,47.23546600341797,45.41931915283203,47.23546600341797,45.41931915283203,47.23546600341797,44.05609893798828,46.14916229248047,79.40091705322266,80.53450012207031,158.07212829589844,158.66004943847656
tmb,tweet me back,0,0,,,,,,,,,,,,
tftf,thanks for the follow,0,4,,,,,,,24.906230926513672,24.906230926513672,55.912628173828125,55.912628173828125,131.71763610839844,131.71763610839844
smh,shaking my head,17,0,33.712772369384766,30.844032287597656,33.712772369384766,30.844032287597656,33.712772369384766,30.844032287597656,,,,,,
prt,please retweet,0,0,,,,,,,,,,,,
rt,retweet,80,1,35.856346130371094,35.76156997680664,35.856346130371094,35.76156997680664,35.856346130371094,35.76156997680664,47.43865966796875,47.43865966796875,47.43865966796875,47.43865966796875,47.43865966796875,47.43865966796875
nts,note to self,0,7,,,,,,,40.50532913208008,40.109371185302734,99.22698974609375,95.64007568359375,204.13636779785156,197.4185791015625
mtf,more to follow,0,0,,,,,,,,,,,,
mrt,modified retweet,2,0,41.98381805419922,41.98381805419922,78.43534851074219,78.43534851074219,165.31341552734375,165.31341552734375,,,,,,
