abbreviation,full_length,count_abbr,count_fl,abbr_mask_all_avg_per_token,abbr_seq_avg_per_token,abbr_mask_all_surprisal_mean,abbr_sequential_surprisal_mean,fl_mask_all_avg_per_token,fl_seq_avg_per_token,fl_mask_all_surprisal_mean,fl_sequential_surprisal_mean
idk,i don't know,36,64,37.46131896972656,37.46131896972656,37.46131896972656,37.46131896972656,37.46131896972656,28.148996353149414,225.1919708251953,225.1919708251953
rn,right now,29,204,30.756410598754883,30.756410598754883,30.756410598754883,30.756410598754883,30.756410598754883,28.85555648803711,115.42222595214844,115.42222595214844
omg,oh my god,167,14,39.768924713134766,39.768924713134766,39.768924713134766,39.768924713134766,39.768924713134766,32.529273986816406,195.17567443847656,195.17567443847656
idc,i don't care,9,9,33.4622688293457,33.4622688293457,33.4622688293457,33.4622688293457,33.4622688293457,27.202674865722656,217.62139892578125,217.62139892578125
lol,laugh out loud,826,1,28.466779708862305,28.466779708862305,28.466779708862305,28.466779708862305,28.466779708862305,34.0628776550293,204.37725830078125,204.37725830078125
bro,brother,242,278,28.66423988342285,28.66423988342285,28.66423988342285,28.66423988342285,28.66423988342285,27.83745765686035,27.83745765686035,27.83745765686035
dm,direct message,100,0,36.00697326660156,36.00697326660156,36.00697326660156,36.00697326660156,36.00697326660156,,,
sry,sorry,1,152,47.63987350463867,47.63987350463867,47.63987350463867,47.63987350463867,47.63987350463867,32.26164627075195,32.26164627075195,32.26164627075195
v,very,584,538,29.89702033996582,29.89702033996582,29.89702033996582,29.89702033996582,29.89702033996582,35.108436584472656,35.108436584472656,35.108436584472656
w,with,1181,11063,32.453712463378906,32.453712463378906,32.453712463378906,32.453712463378906,32.453712463378906,29.541963577270508,29.541963577270508,29.541963577270508
nvm,nevermind,1,1,45.84886932373047,45.84886932373047,45.84886932373047,45.84886932373047,45.84886932373047,37.386451721191406,37.386451721191406,37.386451721191406
rofl,rolling on the floor laughing,3,0,33.28179931640625,33.28179931640625,33.28179931640625,33.28179931640625,33.28179931640625,,,
lmk,let me know,3,16,41.149559020996094,41.149559020996094,41.149559020996094,41.149559020996094,41.149559020996094,26.148820877075195,156.89291381835938,156.89291381835938
